invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total,profit,rating_level
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,02/03/19,13:01:00,Credit card,7.1,0.33,81.06,26.7498,Medium
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,05/03/19,12:29:00,Ewallet,5.3,0.48,109.7,52.656,Medium
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,16/01/19,15:26:00,Ewallet,5.2,0.33,51.36,16.948800000000002,Medium
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,20/01/19,20:38:00,Ewallet,4.1,0.33,106.88,35.2704,Low
127,WALM016,Brownsville,Sports and travel,32.25,5.0,27/01/19,13:26:00,Cash,9.0,0.48,161.25,77.39999999999999,High
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,10/02/19,18:36:00,Cash,7.4,0.33,139.36,45.988800000000005,Medium
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,18/02/19,19:39:00,Cash,6.2,0.18,270.65999999999997,48.718799999999995,Medium
137,WALM027,Abilene,Electronic accessories,26.31,5.0,18/01/19,20:59:00,Credit card,8.8,0.48,131.54999999999998,63.14399999999999,High
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,18/02/19,15:39:00,Cash,9.8,0.33,206.52,68.1516,High
144,WALM097,Alice,Food and beverages,30.41,1.0,22/02/19,10:36:00,Credit card,8.4,0.18,30.41,5.4738,High
148,WALM054,Sherman,Health and beauty,66.14,4.0,19/03/19,12:46:00,Credit card,5.6,0.21,264.56,55.5576,Medium
154,WALM071,Lufkin,Food and beverages,16.48,6.0,07/02/19,18:23:00,Ewallet,9.9,0.33,98.88,32.6304,High
157,WALM042,Bryan,Electronic accessories,72.17,1.0,04/01/19,19:40:00,Cash,6.1,0.48,72.17,34.6416,Medium
162,WALM019,Pasadena,Sports and travel,63.69,1.0,25/02/19,16:21:00,Cash,6.0,0.48,63.69,30.571199999999997,Medium
164,WALM084,Schertz,Sports and travel,76.4,2.0,30/01/19,19:42:00,Ewallet,6.5,0.33,152.8,50.42400000000001,Medium
180,WALM086,Rosenberg,Health and beauty,86.8,3.0,28/01/19,16:47:00,Ewallet,9.9,0.33,260.4,85.932,High
186,WALM072,Lancaster,Food and beverages,18.08,3.0,05/03/19,19:46:00,Ewallet,8.0,0.33,54.239999999999995,17.8992,Medium
188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,08/02/19,10:53:00,Cash,7.0,0.48,185.88,89.2224,Medium
189,WALM078,Del Rio,Home and lifestyle,74.07,1.0,10/02/19,12:50:00,Ewallet,9.9,0.33,74.07,24.443099999999998,High
191,WALM059,Pflugerville,Home and lifestyle,77.04,3.0,11/02/19,10:39:00,Credit card,7.2,0.33,231.12,76.26960000000001,Medium
192,WALM062,Galveston,Fashion accessories,73.52,2.0,15/01/19,13:41:00,Ewallet,4.6,0.33,147.04,48.5232,Low
194,WALM015,Grand Prairie,Home and lifestyle,25.55,4.0,26/01/19,20:23:00,Ewallet,5.7,0.48,102.2,49.056,Medium
195,WALM003,San Antonio,Electronic accessories,32.71,5.0,19/03/19,11:30:00,Credit card,9.9,0.48,163.55,78.504,High
196,WALM066,Grapevine,Fashion accessories,74.29,1.0,13/01/19,19:30:00,Cash,5.0,0.33,74.29,24.515700000000002,Low
197,WALM079,La Porte,Health and beauty,43.7,2.0,26/03/19,18:03:00,Cash,4.9,0.33,87.4,28.842000000000002,Low
198,WALM002,Dallas,Home and lifestyle,25.29,1.0,23/03/19,10:13:00,Ewallet,6.1,0.36,25.29,9.1044,Medium
199,WALM094,Alamo,Health and beauty,41.5,4.0,12/03/19,19:58:00,Credit card,8.2,0.33,166.0,54.78,High
201,WALM100,Canyon,Sports and travel,19.15,6.0,29/01/19,10:01:00,Credit card,6.8,0.18,114.89999999999999,20.682,Medium
202,WALM005,Fort Worth,Electronic accessories,57.49,4.0,15/03/19,11:57:00,Cash,6.6,0.48,229.96,110.3808,Medium
205,WALM065,Texas City,Home and lifestyle,17.77,5.0,15/02/19,12:42:00,Credit card,5.4,0.33,88.85,29.3205,Medium
209,WALM043,Baytown,Fashion accessories,30.37,3.0,28/03/19,13:41:00,Ewallet,5.1,0.48,91.11,43.7328,Medium
214,WALM093,Angleton,Sports and travel,46.42,3.0,04/01/19,13:24:00,Credit card,4.4,0.33,139.26,45.955799999999996,Low
216,WALM072,Lancaster,Home and lifestyle,18.28,1.0,22/03/19,15:05:00,Credit card,8.3,0.33,18.28,6.032400000000001,High
217,WALM038,Sugar Land,Sports and travel,24.77,5.0,24/03/19,18:27:00,Cash,8.5,0.48,123.85,59.44799999999999,High
220,WALM044,Pharr,Food and beverages,57.34,3.0,10/03/19,18:59:00,Credit card,7.9,0.48,172.02,82.56960000000001,Medium
223,WALM020,Killeen,Electronic accessories,11.81,5.0,17/02/19,18:06:00,Cash,9.4,0.48,59.050000000000004,28.344,High
224,WALM026,Denton,Fashion accessories,12.54,1.0,21/02/19,12:38:00,Cash,8.2,0.48,12.54,6.0192,High
225,WALM003,San Antonio,Food and beverages,43.25,2.0,20/03/19,15:56:00,Cash,6.2,0.48,86.5,41.519999999999996,Medium
226,WALM067,Haltom City,Sports and travel,87.16,2.0,11/01/19,14:29:00,Credit card,9.7,0.33,174.32,57.5256,High
228,WALM068,Burleson,Electronic accessories,37.06,4.0,31/01/19,16:24:00,Ewallet,9.7,0.33,148.24,48.919200000000004,High
231,WALM007,Arlington,Fashion accessories,81.37,2.0,26/01/19,19:28:00,Cash,6.5,0.48,162.74,78.1152,Medium
232,WALM024,Carrollton,Electronic accessories,10.59,3.0,12/03/19,13:52:00,Credit card,8.7,0.48,31.77,15.2496,High
236,WALM084,Schertz,Sports and travel,93.14,2.0,20/01/19,18:09:00,Ewallet,4.1,0.33,186.28,61.4724,Low
237,WALM068,Burleson,Health and beauty,17.41,5.0,28/01/19,15:16:00,Credit card,4.9,0.33,87.05,28.7265,Low
238,WALM023,Midland,Fashion accessories,44.22,5.0,05/03/19,17:07:00,Credit card,8.6,0.48,221.1,106.128,High
239,WALM040,Edinburg,Electronic accessories,13.22,5.0,02/03/19,19:26:00,Cash,4.3,0.48,66.10000000000001,31.728,Low
240,WALM085,Kerrville,Fashion accessories,89.69,1.0,11/01/19,11:20:00,Ewallet,4.9,0.33,89.69,29.5977,Low
242,WALM100,Canyon,Health and beauty,59.77,2.0,11/03/19,12:01:00,Credit card,5.8,0.18,119.54,21.5172,Medium
243,WALM077,Coppell,Fashion accessories,93.2,2.0,28/02/19,18:37:00,Credit card,6.0,0.33,186.4,61.51200000000001,Medium
248,WALM055,Waxahachie,Fashion accessories,17.94,5.0,23/01/19,14:04:00,Ewallet,6.8,0.33,89.7,29.601000000000003,Medium
253,WALM066,Grapevine,Sports and travel,14.39,2.0,02/03/19,19:44:00,Credit card,7.2,0.33,28.78,9.4974,Medium
254,WALM011,Lubbock,Home and lifestyle,23.75,4.0,16/03/19,11:22:00,Cash,5.2,0.48,95.0,45.6,Medium
256,WALM048,Harlingen,Fashion accessories,32.62,4.0,29/01/19,14:12:00,Cash,9.0,0.48,130.48,62.630399999999995,High
257,WALM067,Haltom City,Electronic accessories,66.35,1.0,31/01/19,10:46:00,Credit card,9.7,0.33,66.35,21.8955,High
258,WALM049,North Richland Hills,Home and lifestyle,25.91,6.0,05/02/19,10:16:00,Ewallet,8.7,0.48,155.46,74.6208,High
259,WALM029,Round Rock,Electronic accessories,32.25,4.0,13/02/19,12:38:00,Ewallet,6.5,0.48,129.0,61.919999999999995,Medium
260,WALM100,Canyon,Electronic accessories,65.94,4.0,07/02/19,13:05:00,Credit card,6.9,0.18,263.76,47.4768,Medium
262,WALM019,Pasadena,Fashion accessories,16.45,4.0,07/03/19,14:53:00,Ewallet,5.6,0.48,65.8,31.583999999999996,Medium
263,WALM022,Mesquite,Fashion accessories,38.3,4.0,13/03/19,19:22:00,Cash,5.7,0.48,153.2,73.53599999999999,Medium
265,WALM095,Big Spring,Sports and travel,54.45,1.0,26/02/19,19:24:00,Ewallet,7.9,0.33,54.45,17.968500000000002,Medium
267,WALM072,Lancaster,Home and lifestyle,35.47,4.0,14/03/19,17:22:00,Credit card,6.9,0.33,141.88,46.8204,Medium
272,WALM027,Abilene,Health and beauty,21.12,2.0,03/01/19,19:17:00,Cash,9.7,0.48,42.24,20.2752,High
274,WALM025,Waco,Home and lifestyle,12.03,2.0,27/01/19,15:51:00,Cash,5.1,0.48,24.06,11.548799999999998,Medium
282,WALM036,Allen,Home and lifestyle,37.0,1.0,06/03/19,13:29:00,Credit card,7.9,0.48,37.0,17.759999999999998,Medium
283,WALM097,Alice,Sports and travel,15.34,1.0,06/01/19,11:09:00,Cash,6.5,0.18,15.34,2.7611999999999997,Medium
285,WALM079,La Porte,Health and beauty,47.67,4.0,12/03/19,14:21:00,Cash,9.1,0.33,190.68,62.924400000000006,High
287,WALM010,Laredo,Home and lifestyle,74.86,1.0,24/03/19,14:49:00,Cash,6.9,0.48,74.86,35.9328,Medium
293,WALM007,Arlington,Electronic accessories,62.48,1.0,18/02/19,20:29:00,Cash,4.7,0.48,62.48,29.990399999999998,Low
294,WALM015,Grand Prairie,Food and beverages,36.36,2.0,21/01/19,10:00:00,Cash,7.1,0.48,72.72,34.9056,Medium
297,WALM036,Allen,Electronic accessories,28.84,4.0,29/03/19,14:44:00,Cash,6.4,0.48,115.36,55.3728,Medium
299,WALM095,Big Spring,Home and lifestyle,60.01,4.0,25/01/19,15:54:00,Cash,4.5,0.33,240.04,79.2132,Low
300,WALM017,McKinney,Home and lifestyle,88.61,1.0,19/01/19,10:21:00,Cash,7.7,0.48,88.61,42.532799999999995,Medium
301,WALM100,Canyon,Fashion accessories,99.82,2.0,02/01/19,18:09:00,Credit card,6.7,0.18,199.64,35.935199999999995,Medium
302,WALM048,Harlingen,Health and beauty,39.01,1.0,12/03/19,16:46:00,Credit card,4.7,0.48,39.01,18.7248,Low
303,WALM031,Lewisville,Food and beverages,48.61,1.0,25/02/19,15:31:00,Cash,4.4,0.48,48.61,23.3328,Low
304,WALM026,Denton,Electronic accessories,51.19,4.0,18/03/19,17:15:00,Credit card,4.7,0.48,204.76,98.28479999999999,Low
309,WALM033,Pearland,Electronic accessories,26.48,3.0,21/03/19,10:40:00,Ewallet,4.7,0.48,79.44,38.1312,Low
310,WALM012,Garland,Fashion accessories,81.91,2.0,05/03/19,17:43:00,Cash,7.8,0.48,163.82,78.63359999999999,Medium
312,WALM076,Huntsville,Fashion accessories,69.33,2.0,05/02/19,19:05:00,Ewallet,9.7,0.33,138.66,45.7578,High
313,WALM012,Garland,Food and beverages,14.23,5.0,01/02/19,10:08:00,Credit card,4.4,0.48,71.15,34.152,Low
316,WALM030,Richardson,Food and beverages,99.37,2.0,14/02/19,17:29:00,Cash,5.2,0.48,198.74,95.3952,Medium
317,WALM012,Garland,Food and beverages,21.08,3.0,09/02/19,10:25:00,Cash,7.3,0.48,63.239999999999995,30.355199999999996,Medium
320,WALM059,Pflugerville,Health and beauty,44.07,4.0,18/02/19,16:28:00,Ewallet,8.4,0.33,176.28,58.1724,High
322,WALM016,Brownsville,Health and beauty,39.42,1.0,18/01/19,15:08:00,Cash,8.4,0.48,39.42,18.9216,High
323,WALM037,League City,Health and beauty,15.26,6.0,15/02/19,18:03:00,Ewallet,9.8,0.48,91.56,43.9488,High
325,WALM086,Rosenberg,Home and lifestyle,21.52,6.0,17/01/19,12:48:00,Credit card,9.4,0.33,129.12,42.6096,High
330,WALM063,Georgetown,Electronic accessories,36.36,4.0,25/03/19,13:07:00,Cash,7.6,0.33,145.44,47.995200000000004,Medium
332,WALM076,Huntsville,Food and beverages,32.9,3.0,17/02/19,17:27:00,Credit card,9.1,0.33,98.69999999999999,32.571,High
334,WALM034,College Station,Food and beverages,23.48,2.0,14/03/19,11:21:00,Credit card,7.9,0.48,46.96,22.5408,Medium
335,WALM089,Southlake,Sports and travel,14.7,5.0,24/03/19,13:48:00,Ewallet,8.5,0.33,73.5,24.255000000000003,High
336,WALM032,Tyler,Electronic accessories,28.45,5.0,21/03/19,10:17:00,Credit card,9.1,0.48,142.25,68.28,High
339,WALM016,Brownsville,Electronic accessories,47.65,3.0,28/03/19,12:58:00,Credit card,9.5,0.48,142.95,68.61599999999999,High
341,WALM014,Amarillo,Electronic accessories,48.09,3.0,10/02/19,18:23:00,Credit card,7.8,0.48,144.27,69.2496,Medium
345,WALM007,Arlington,Sports and travel,44.65,3.0,14/02/19,15:04:00,Cash,6.2,0.48,133.95,64.29599999999999,Medium
347,WALM096,Eagle Pass,Electronic accessories,71.95,1.0,04/02/19,12:14:00,Cash,7.3,0.18,71.95,12.951,Medium
355,WALM082,Weslaco,Electronic accessories,30.24,1.0,04/03/19,15:44:00,Cash,8.4,0.33,30.24,9.9792,High
359,WALM070,Hurst,Electronic accessories,27.5,3.0,01/03/19,15:40:00,Ewallet,6.5,0.33,82.5,27.225,Medium
360,WALM081,Friendswood,Sports and travel,74.97,1.0,16/03/19,16:58:00,Cash,5.6,0.33,74.97,24.7401,Medium
363,WALM002,Dallas,Food and beverages,99.79,2.0,07/03/19,20:37:00,Ewallet,8.0,0.36,199.58,71.8488,Medium
365,WALM037,League City,Food and beverages,41.24,4.0,19/02/19,16:23:00,Cash,7.1,0.48,164.96,79.1808,Medium
372,WALM071,Lufkin,Fashion accessories,60.96,2.0,25/01/19,19:39:00,Credit card,4.9,0.33,121.92,40.2336,Low
380,WALM045,Missouri City,Electronic accessories,23.65,4.0,30/01/19,13:32:00,Credit card,4.0,0.48,94.6,45.407999999999994,Low
382,WALM008,Corpus Christi,Electronic accessories,26.61,2.0,19/03/19,14:35:00,Cash,4.2,0.48,53.22,25.545599999999997,Low
385,WALM039,Longview,Food and beverages,40.94,5.0,06/01/19,13:58:00,Ewallet,9.9,0.48,204.7,98.25599999999999,High
386,WALM084,Schertz,Sports and travel,75.82,1.0,31/01/19,13:19:00,Cash,5.8,0.33,75.82,25.020599999999998,Medium
393,WALM020,Killeen,Electronic accessories,76.82,1.0,13/02/19,18:27:00,Ewallet,7.2,0.48,76.82,36.873599999999996,Medium
395,WALM045,Missouri City,Health and beauty,79.74,1.0,06/03/19,10:36:00,Credit card,7.3,0.48,79.74,38.2752,Medium
397,WALM075,San Marcos,Food and beverages,54.27,5.0,13/03/19,14:16:00,Ewallet,4.6,0.33,271.35,89.54550000000002,Low
401,WALM081,Friendswood,Food and beverages,39.43,6.0,25/03/19,20:18:00,Credit card,9.4,0.33,236.57999999999998,78.0714,High
402,WALM084,Schertz,Home and lifestyle,46.22,4.0,12/03/19,20:04:00,Credit card,6.2,0.33,184.88,61.010400000000004,Medium
403,WALM030,Richardson,Home and lifestyle,13.98,1.0,04/02/19,13:38:00,Ewallet,9.8,0.48,13.98,6.7104,High
404,WALM010,Laredo,Fashion accessories,39.75,5.0,22/02/19,10:43:00,Ewallet,9.6,0.48,198.75,95.39999999999999,High
406,WALM095,Big Spring,Sports and travel,67.26,4.0,19/01/19,15:28:00,Credit card,8.0,0.33,269.04,88.78320000000001,Medium
407,WALM009,Plano,Food and beverages,13.79,5.0,11/01/19,19:07:00,Credit card,7.8,0.48,68.94999999999999,33.096,Medium
409,WALM004,Austin,Home and lifestyle,56.53,4.0,04/03/19,19:48:00,Ewallet,5.5,0.48,226.12,108.5376,Medium
410,WALM047,Flower Mound,Fashion accessories,23.82,5.0,28/01/19,19:24:00,Ewallet,5.4,0.48,119.1,57.16799999999999,Medium
412,WALM094,Alamo,Sports and travel,21.87,2.0,25/01/19,14:29:00,Ewallet,6.9,0.33,43.74,14.4342,Medium
413,WALM005,Fort Worth,Health and beauty,20.97,5.0,04/01/19,13:21:00,Cash,7.8,0.48,104.85,50.327999999999996,Medium
414,WALM061,Cedar Park,Sports and travel,25.84,3.0,10/03/19,18:55:00,Ewallet,6.6,0.33,77.52,25.581599999999998,Medium
416,WALM025,Waco,Health and beauty,96.11,1.0,25/01/19,16:28:00,Ewallet,7.8,0.48,96.11,46.132799999999996,Medium
417,WALM035,San Angelo,Home and lifestyle,45.38,4.0,08/01/19,13:48:00,Credit card,8.7,0.48,181.52,87.1296,High
418,WALM053,Conroe,Health and beauty,81.51,1.0,22/01/19,10:57:00,Ewallet,9.2,0.57,81.51,46.460699999999996,High
419,WALM062,Galveston,Health and beauty,57.22,2.0,12/01/19,17:13:00,Ewallet,8.3,0.33,114.44,37.7652,High
421,WALM055,Waxahachie,Food and beverages,38.6,3.0,28/03/19,13:57:00,Ewallet,7.5,0.33,115.80000000000001,38.214000000000006,Medium
425,WALM022,Mesquite,Fashion accessories,16.28,1.0,09/03/19,15:36:00,Cash,5.0,0.48,16.28,7.8144,Low
428,WALM039,Longview,Food and beverages,20.87,3.0,20/03/19,13:53:00,Credit card,8.0,0.48,62.61,30.052799999999998,Medium
431,WALM084,Schertz,Fashion accessories,69.08,2.0,31/01/19,19:48:00,Credit card,6.9,0.33,138.16,45.592800000000004,Medium
432,WALM010,Laredo,Food and beverages,43.27,2.0,08/03/19,16:53:00,Ewallet,5.7,0.48,86.54,41.5392,Medium
433,WALM062,Galveston,Electronic accessories,23.46,6.0,13/01/19,19:14:00,Ewallet,6.4,0.33,140.76,46.4508,Medium
435,WALM075,San Marcos,Fashion accessories,47.44,1.0,22/02/19,18:19:00,Credit card,6.8,0.33,47.44,15.6552,Medium
438,WALM095,Big Spring,Home and lifestyle,33.99,6.0,08/03/19,15:37:00,Credit card,7.7,0.33,203.94,67.3002,Medium
439,WALM090,Brownwood,Food and beverages,17.04,4.0,08/03/19,20:15:00,Ewallet,7.0,0.33,68.16,22.4928,Medium
441,WALM097,Alice,Food and beverages,17.44,5.0,15/01/19,19:25:00,Cash,8.1,0.18,87.2,15.696,High
444,WALM050,Victoria,Fashion accessories,12.78,1.0,08/01/19,14:11:00,Ewallet,9.5,0.48,12.78,6.134399999999999,High
446,WALM011,Lubbock,Health and beauty,19.15,1.0,28/01/19,17:58:00,Credit card,9.5,0.48,19.15,9.191999999999998,High
448,WALM028,Odessa,Fashion accessories,45.74,3.0,10/03/19,17:38:00,Credit card,6.5,0.48,137.22,65.8656,Medium
449,WALM063,Georgetown,Health and beauty,27.07,1.0,12/01/19,20:07:00,Credit card,5.3,0.33,27.07,8.933100000000001,Medium
450,WALM077,Coppell,Sports and travel,39.12,1.0,26/03/19,11:02:00,Credit card,9.6,0.33,39.12,12.9096,High
452,WALM077,Coppell,Electronic accessories,22.01,6.0,02/01/19,18:50:00,Cash,7.6,0.33,132.06,43.579800000000006,Medium
454,WALM069,Rockwall,Health and beauty,25.0,1.0,03/03/19,15:09:00,Ewallet,5.5,0.33,25.0,8.25,Medium
455,WALM028,Odessa,Electronic accessories,20.77,4.0,31/01/19,13:47:00,Cash,4.7,0.48,83.08,39.8784,Low
456,WALM010,Laredo,Fashion accessories,29.56,5.0,13/02/19,16:59:00,Cash,6.9,0.48,147.79999999999998,70.94399999999999,Medium
460,WALM074,Weslaco,Food and beverages,35.89,1.0,23/02/19,16:52:00,Cash,7.9,0.33,35.89,11.8437,Medium
461,WALM064,Bedford,Food and beverages,40.52,5.0,03/02/19,15:19:00,Cash,4.5,0.33,202.60000000000002,66.858,Low
464,WALM057,Euless,Food and beverages,22.62,1.0,17/03/19,18:58:00,Cash,6.4,0.33,22.62,7.464600000000001,Medium
468,WALM047,Flower Mound,Sports and travel,37.02,6.0,22/03/19,18:33:00,Cash,4.5,0.48,222.12,106.6176,Low
469,WALM071,Lufkin,Food and beverages,21.58,1.0,09/02/19,10:02:00,Ewallet,7.2,0.33,21.58,7.1213999999999995,Medium
470,WALM071,Lufkin,Electronic accessories,98.84,1.0,15/02/19,11:21:00,Cash,8.4,0.33,98.84,32.617200000000004,High
472,WALM093,Angleton,Sports and travel,40.05,4.0,25/01/19,11:40:00,Cash,9.7,0.33,160.2,52.866,High
476,WALM010,Laredo,Health and beauty,65.18,3.0,25/02/19,20:35:00,Credit card,6.3,0.48,195.54000000000002,93.8592,Medium
477,WALM059,Pflugerville,Sports and travel,33.26,5.0,18/03/19,16:10:00,Credit card,4.2,0.33,166.29999999999998,54.879,Low
480,WALM057,Euless,Electronic accessories,38.6,1.0,29/01/19,11:26:00,Ewallet,6.7,0.33,38.6,12.738000000000001,Medium
483,WALM094,Alamo,Sports and travel,37.14,5.0,08/01/19,13:05:00,Ewallet,5.0,0.33,185.7,61.281,Low
486,WALM060,DeSoto,Sports and travel,49.49,4.0,21/03/19,15:25:00,Ewallet,6.6,0.33,197.96,65.3268,Medium
488,WALM080,Nacogdoches,Fashion accessories,37.15,4.0,23/03/19,18:59:00,Ewallet,8.3,0.33,148.6,49.038000000000004,High
489,WALM050,Victoria,Home and lifestyle,22.96,1.0,30/01/19,20:47:00,Ewallet,4.3,0.48,22.96,11.0208,Low
491,WALM051,New Braunfels,Fashion accessories,34.7,2.0,13/03/19,19:48:00,Ewallet,8.2,0.48,69.4,33.312000000000005,High
495,WALM081,Friendswood,Fashion accessories,99.89,2.0,26/02/19,11:48:00,Ewallet,7.1,0.33,199.78,65.9274,Medium
497,WALM053,Conroe,Electronic accessories,63.22,2.0,01/01/19,15:51:00,Cash,8.5,0.21,126.44,26.5524,High
499,WALM073,Seguin,Sports and travel,98.13,1.0,21/01/19,17:36:00,Cash,8.9,0.33,98.13,32.3829,High
501,WALM087,Waxahachie,Sports and travel,73.97,1.0,03/02/19,15:53:00,Credit card,5.4,0.33,73.97,24.4101,Medium
502,WALM006,El Paso,Fashion accessories,31.9,1.0,05/01/19,12:40:00,Ewallet,9.1,0.48,31.9,15.312,High
503,WALM002,Dallas,Home and lifestyle,69.4,2.0,27/01/19,19:48:00,Ewallet,9.0,0.36,138.8,49.968,High
504,WALM075,San Marcos,Sports and travel,93.31,2.0,25/03/19,17:53:00,Cash,6.3,0.33,186.62,61.5846,Medium
505,WALM048,Harlingen,Sports and travel,88.45,1.0,25/02/19,16:36:00,Credit card,9.5,0.48,88.45,42.456,High
507,WALM019,Pasadena,Sports and travel,48.5,3.0,08/01/19,12:50:00,Cash,6.7,0.48,145.5,69.84,Medium
510,WALM055,Waxahachie,Home and lifestyle,15.95,6.0,09/02/19,17:15:00,Credit card,5.1,0.33,95.69999999999999,31.580999999999996,Medium
512,WALM007,Arlington,Home and lifestyle,42.91,5.0,05/01/19,17:29:00,Ewallet,6.1,0.48,214.54999999999998,102.984,Medium
